action,position,equity
0,-1,1.000512231458478
0,-1,0.9997239185112253
0,-1,0.9972674527366331
0,-1,0.9982551994089448
0,-1,0.9985036254226528
0,-1,0.9970848417729208
0,-1,0.9950452372812487
0,-1,0.9963300573761541
0,-1,0.9934983350943667
0,-1,0.9950514846592807
0,-1,0.9950281417760939
0,-1,0.9955744389423437
0,-1,0.993986945061841
0,-1,0.993537934735837
0,-1,0.9939568306547834
0,-1,0.9952715687019504
0,-1,0.9944999151713538
0,-1,0.9945544872055814
0,-1,0.9942036993622746
0,-1,0.9945859719353701
0,-1,0.9957912305661942
0,-1,0.9953236750744311
0,-1,0.9957560064268287
0,-1,0.9965368686516267
0,-1,0.9993563701632865
0,-1,1.0036797580497578
0,-1,1.0034372018766218
0,-1,1.0026442244257694
0,-1,1.0037385196580226
0,-1,1.0027631256829712
0,-1,1.0028524052272636
0,-1,1.0023342898576166
2,1,0.9943654214278919
2,1,0.9969565770624684
2,1,0.9954436001286491
2,1,0.9962245239539637
2,1,0.9978417920050994
2,1,0.9971062121438351
2,1,0.9988897413964893
2,1,0.9986998005692999
2,1,0.9994389071833235
2,1,0.9972170529448475
2,1,0.9976604161488972
2,1,0.9979324799332003
2,1,0.9972926262182651
2,1,0.9968240719230763
2,1,0.9969953713428227
2,1,0.9988847031782615
2,1,1.0000535698071196
2,1,0.9990711172526914
2,1,0.9993784485645896
2,1,0.9990423994087929
2,1,0.9994842511473743
2,1,0.996436129119533
2,1,0.9987688241590214
2,1,0.9999376907878795
2,1,1.000830966879675
2,1,1.0023071648204311
2,1,1.0024331202761272
2,1,1.0019242602351157
2,1,1.002070368563723
2,1,1.0038186302887822
2,1,1.0050917880349566
1,0,1.0049410242667514
0,-1,1.004649387392562
0,-1,1.0058567263539693
0,-1,1.006819879106076
0,-1,1.0077090928844636
0,-1,1.0054871895247388
0,-1,1.0060767540551194
0,-1,1.0081603083976354
0,-1,1.0090453149971719
2,1,1.0085427155747924
2,1,1.0055449354810224
2,1,1.003226462807384
2,1,1.0110204881214115
2,1,1.0070770552784813
2,1,1.0074068161620404
2,1,1.00949141227057
2,1,1.0098029094744243
2,1,1.0140984254761083
2,1,1.0124242548365008
1,0,1.0122723911982754
0,-1,1.0132901296865942
0,-1,1.012909517497237
0,-1,1.0115520059232985
0,-1,1.0127657924687474
0,-1,1.0121508505191474
0,-1,1.0123802244843656
0,-1,1.0146547410346196
0,-1,1.0139067238784476
0,-1,1.0135815363641176
0,-1,1.012505043465652
0,-1,1.0127229254202315
0,-1,1.0128496555058284
0,-1,1.0122361283596755
0,-1,1.0120132976993503
0,-1,1.0138088259829543
0,-1,1.0126876482607585
0,-1,1.0101233045959024
0,-1,1.012375628299429
0,-1,1.015963740962478
0,-1,1.0184483399277542
2,1,1.019029486264835
2,1,1.0200443001731223
2,1,1.0188859772272996
2,1,1.0190156478933585
2,1,1.0198920780868792
2,1,1.020751594715262
2,1,1.020674714873725
2,1,1.0212590016694054
2,1,1.0243598219447274
2,1,1.0248877301899475
2,1,1.0248313516394871
0,-1,1.0248313293443332
0,-1,1.0232881441634871
0,-1,1.024632454010187
0,-1,1.0253140646356902
0,-1,1.025899080130566
0,-1,1.0240290031086114
0,-1,1.0259383446373807
0,-1,1.031595799126418
2,1,1.0291622098219366
2,1,1.02997238402267
2,1,1.0293751402208473
2,1,1.03044706300951
2,1,1.0329591223742198
2,1,1.0328962819394194
2,1,1.0324813273327618
2,1,1.0322439878393417
2,1,1.0317298388273377
2,1,1.0318425361360295
2,1,1.0313076134265708
