side,entry_time,exit_time,entry_price,exit_price,holding_bars,net_return_pct,equity_after,mfe_pct,mae_pct
short,2020-10-01 18:00:00,2020-10-01 19:00:00,1903.738,1905.818,2,0.3503214753166839,0.8663479714828654,0.0,-0.10925873203140313
long,2020-10-01 19:00:00,2020-10-05 12:00:00,1905.818,1908.858,38,0.10516765946309015,0.8665725390025845,0.35312920751089383,-0.77447059477872
short,2020-10-05 14:00:00,2020-10-06 16:00:00,1913.948,1900.665,26,0.4659221259342816,0.8706100921990679,0.694010495582964,-0.1818231216313082
long,2020-10-06 16:00:00,2020-10-09 00:00:00,1900.665,1906.488,54,-0.2900271373357688,0.8697755749578983,0.306366455950946,-1.3051747677786496
short,2020-10-09 02:00:00,2020-10-13 13:00:00,1910.768,1892.435,56,0.4925630140120374,0.8740597677450515,0.9594571397469553,-1.0257655560486523
long,2020-10-13 13:00:00,2020-10-14 13:00:00,1892.435,1907.058,24,0.8191499632010935,0.8830598529134027,1.0448443407567565,-0.1160938156396285
short,2020-10-14 14:00:00,2020-10-14 16:00:00,1903.105,1902.535,3,0.338341994319058,0.8860476152307808,0.10283195094332731,0.0
long,2020-10-14 16:00:00,2020-10-15 18:00:00,1902.535,1906.465,26,0.19895774345082273,0.8874294663165507,0.20656650206172245,-0.5795951191436721
short,2020-10-15 20:00:00,2020-10-16 19:00:00,1907.318,1898.968,23,0.4020761251967375,0.8909976083285703,0.4377875110495477,-0.13002551226382053
long,2020-10-16 19:00:00,2020-10-19 04:00:00,1898.968,1907.848,7,-0.15401615831609483,0.8901017683786557,0.4676224138584706,0.0
short,2020-10-19 04:00:00,2020-10-28 11:00:00,1907.848,1882.245,167,0.005322931177831336,0.892814017293371,1.3419832187889225,-1.0241906063795492
long,2020-10-28 11:00:00,2020-11-03 16:00:00,1882.245,1908.875,96,0.5900281537050134,0.9028057986953362,1.4147998799306283,-0.9651772218813082
short,2020-11-03 16:00:00,2020-11-04 01:00:00,1908.875,1893.448,9,-0.21092732176860585,0.9023538015304101,0.8081723528256091,-0.2870800864383405
long,2020-11-04 01:00:00,2020-11-04 23:00:00,1893.448,1904.735,22,0.1362229818298033,0.9075871172901677,0.7974869127644224,-0.2203915819182778
short,2020-11-05 01:00:00,2020-11-09 13:00:00,1908.258,1863.188,58,0.3589010457543118,0.9108444569452535,2.36183996084387,-2.8392387192926805
long,2020-11-09 13:00:00,2020-12-07 19:00:00,1863.188,1863.798,456,-1.4091283485784145,0.9066341013853844,1.7763639525372632,-5.18106600085445
short,2020-12-07 19:00:00,2020-12-09 14:00:00,1863.798,1848.065,42,1.4553562010606758,0.9222539616771063,1.2933268519442542,-0.47859263718492695
