timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate,ep_rew_mean
120832,0.0001856242,0.0,-0.4690905760973692,0.008238792419433594,-0.0007036838098429144,91.46276550292968,5.8336000000000005e-05,
122880,2.8224284e-05,0.0,-0.3914955612272024,-0.0010906457901000977,-0.00012204485828988254,109.79863834381104,5.423999999999998e-05,
124928,0.00012303071,0.0,-0.48017388917505743,-0.0018551349639892578,-0.00037221871898509564,161.4422149658203,5.014399999999999e-05,
126976,3.6151323e-05,0.0,-0.4494636818766594,0.004009604454040527,-0.0001765305787557736,96.50900964736938,4.604800000000001e-05,
129024,0.00014312199,0.0,-0.46552051939070227,0.0001302957534790039,-0.0005937613401329145,39.76945896148682,4.195199999999999e-05,
131072,0.0009085736,0.0009765625,-0.4157271280884743,-0.01695418357849121,-0.0023816912245820275,6.619049459695816,3.7856e-05,
133120,0.0006348514,0.000830078125,-0.45843253694474695,-0.2586946487426758,-0.0007225358800496906,3.596431639790535,3.376000000000001e-05,
135168,0.0028688349,0.0259765625,-0.3449395138770342,0.6120568513870239,-0.00597447021282278,0.7690943114459514,2.966399999999999e-05,
137216,0.0021828166,0.00830078125,-0.37801508121192456,0.8224195241928101,-0.0022021306853275747,1.6778065264225006,2.5568e-05,
139264,0.0002527953,0.000146484375,-0.39033327884972097,0.3931378126144409,-0.0008907607378205284,3.6211265295743944,2.147200000000001e-05,
141312,0.00011792421,0.0,-0.4038817171007395,0.060616493225097656,-0.0005377992492867634,8.385981577634812,1.737599999999999e-05,
143360,1.0708405e-05,0.0,-0.368843337148428,-0.0009293556213378906,-0.0002249739074613899,32.463045072555545,1.3280000000000002e-05,
145408,4.564383e-06,0.0,-0.34288900941610334,0.03480041027069092,-0.00013932023575762286,30.4547372341156,9.184000000000014e-06,
147456,1.3976824e-06,0.0,-0.37483383864164355,0.010654211044311523,-6.345146393869073e-05,43.26781778335571,5.087999999999992e-06,
149504,9.103678e-08,0.0,-0.366499687358737,0.012109875679016113,-1.383210765197873e-05,57.36264863014221,9.920000000000038e-07,
